fold,mae_mean,mse_mean,spearman_mean,r2_mean,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.9134734272956848,1.549094796180725,0.5275880503263322,0.09193748235702515,8490,1028,596,157,49,23
1,0.7851204872131348,1.1722480058670044,0.6888191730270145,0.47320353984832764,8414,1104,596,158,48,23
2,1.2204409837722778,2.818682909011841,0.4975631064318247,-0.14376699924468994,8492,1026,596,157,49,23
3,1.708074927330017,5.46124267578125,0.7430647098160018,0.35468828678131104,8503,1016,595,159,48,22
4,0.7225803136825562,1.5238840579986572,0.7074229316677633,0.3270305395126343,8320,1198,596,158,50,21
5,1.146551489830017,2.4309709072113037,0.4882710163204302,-0.2718651294708252,8498,1021,595,160,48,21
6,0.7704176306724548,1.0684701204299927,0.6732724690907312,0.25085926055908203,8482,1037,595,157,50,22
7,0.9975078105926514,1.8875775337219238,0.6512113232354271,0.3986245393753052,8492,1027,595,156,49,24
8,1.1081981658935547,2.0322909355163574,0.43840988864092284,-0.130828857421875,8430,1089,595,156,49,24
9,0.995965838432312,1.7558104991912842,0.5422173263198413,0.07409179210662842,8364,1155,595,155,50,24
