fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,1.1547115571772075,2.073414477629605,0.5518976005757906,-0.21541300039645495,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,0.7817023025512032,1.0254194235656529,0.6219524183104502,0.5391867866534096,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,1.6132696718330082,5.0469047350057865,0.4742348006555583,-1.0479359442597969,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.644514641353309,4.987081279373766,0.7462751427991055,0.41071615379723714,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,0.9682850155636912,2.0295331835883763,0.5555839941142429,0.10372843657477238,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,1.0844790873536285,2.0278647544371267,0.5083806540829449,-0.060963164267594294,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,0.946971185921581,1.7024540877660113,0.6141199747090057,-0.19364849069784462,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,1.0408254016745953,2.283665017222466,0.6227351661148942,0.27243251679012725,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.703248833229389,0.8111268491396144,0.804133927972804,0.5486642504964209,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.8682538462049618,1.5502883456780794,0.6606536356680405,0.18247174135786626,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,1.0806261542862576,2.3537752153406486,0.6159967315002837,0.05392392860481428
Overall Std,0.30267511053876506,1.40343218559383,0.09689312139604757,0.4511572297341827
